Conteúdo,Título do vídeo,Horário de publicação do vídeo,Visualizações,Tempo de exibição (horas),Inscritos,Receita estimada (USD),Impressões,Taxa de cliques de impressões (%)
ZbdvFGAotYE,Emocionante! Rios se recuperam na terra Yanomami 2 meses após retirada de garimpeiro,"Apr 9, 2023",24892,265.0499,35,6.035,103117,12.47
qGIa8Ean46E,"Xuxa publica vídeo contra o Marco Temporal: ""Diga não ao projeto de Lei 490!""","Jun 3, 2023",10776,140.0062,42,6.035,96006,7.26
o40A74dVLvY,Caetano Veloso entrevista Fernando Haddad,"Jul 14, 2022",2062,377.1733,51,5.877,27039,3.69
eZRwg0UX3PA,Ocupa Brasília - manifestação FORA Temer com 200 mil pessoas é brutalmente reprimida,"May 26, 2017",12485,252.4295,39,5.864,27483,23.89
Wxt_zHpcnvk,Militares desmontam acampamento em frente ao quartel general em Brasília,"Jan 9, 2023",61264,736.3148,51,5.646,58202,12.15
Avm1Ht0qLmU,Nem todo herói usa capa! Passageiro do mesmo voo de Bolsonaro faz o L no aeroporto: 'Não tenho medo',"Mar 31, 2023",341337,2271.4131,513,5.642,54879,3.96
2lOmha7A9mk,Sarah Polley levou o Oscar de roteiro adaptado com longa sobre a importância da união feminina,"Mar 13, 2023",4407,78.5998,5,5.488,39192,8.47
NF_83HxcR8Y,"Às lágrimas, deputada Thainara Faria denuncia racismo na Assembleia Legislativa de São Paulo","Apr 1, 2023",14513,338.849,36,5.411,112859,10.09
qc0ze7cv7dE,Sonia Guajajara dá aula de história sobre povos indígenas à senadora do PSL,"Apr 12, 2019",9694,447.7881,62,5.397,77976,8.91
a23uGjqZU18,#CinemaAoVivo​ - Terra dos Índios (1979) │ Filme de Zelito Viana,"Apr 17, 2021",7529,628.8866,55,5.314,32413,6.83
nfHFEnADYHY,Que momento! Ministro Silvio Almeida citou Racionais MCs no seu discurso na Comissão da Anistia,"Mar 31, 2023",13385,191.0922,31,5.233,119855,8.36
6JR5LMUZTAM,Sem Receio: Jaques Wagner descarta medo do governo com CPI sobre ataques do 8 de Janeiro,"Apr 18, 2023",13654,301.1025,16,5.132,87757,12.69
Ia2CUA9kkkY,Alexandre de Moraes acaba com golpistas em discurso hoje na posse do diretor da Polícia Federal,"Jan 10, 2023",18038,345.1183,40,5.114,89816,16.66
XybgIA3w6Eo,"""Me espanta que o governador tente vestir a roupa do Bolsonaro"" Flávio Dino responde Romeu Zema","Jan 18, 2023",14077,375.7959,28,5.087,76296,14.3
16oWtlGYxLA,"Discurso emocionante, Muito merecido, Ke Huy Quan vence Oscars de melhor ator coadjuvante","Mar 13, 2023",9131,148.1619,17,4.88,48108,10.67
uWWRsUPJ0ME,Caetano Entrevista: Roger Waters,"Oct 26, 2018",7975,897.5611,77,4.787,119844,5
rb_gaaibOHw,Um Índio - Caetano Veloso Ao Vivo no Circo Voador | Lançamento do App 342 Amazonia,"Apr 19, 2020",9584,396.9095,34,4.293,58477,6.61
ZHCeTlWAXQM,Caetano Veloso Entrevista Baco Exu do Blues,"Jan 31, 2019",3254,412.8725,39,4.288,81175,2.83
QoZ5J0P6bNc,"""Ódio e Nojo à Ditadura"" O Histórico discurso de Ulysses Guimarães ao promulgar a Constituição","Apr 1, 2023",7505,155.5141,36,4.26,85694,6.02
igAoiWC6StI,Eu sou Lula,"Apr 9, 2018",7263,266.9444,50,4.252,43668,13.47
uY8PV6LnYb0,"Petrobrás derruba preço da gasolina, diesel e gás de cozinha","May 16, 2023",7749,295.3208,8,4.155,81147,7.18
9e5St3Y6GVg,Moro teve uma lição de Zanin no Senado: Lula é inocente!,"Jun 21, 2023",140072,2002.2581,378,4.121,774048,7.43
NZNut7UzA8w,Rogério Correa desmascara hipocrisia de Aécio Neves e expõe seu passado sujo,"Jun 6, 2023",7780,261.6807,11,4.112,59095,9.59
zTkuZvY8dwI,Sérgio Moro não se cansa de ser humilhado no Senado | Senador Contarato acaba com o ex-juiz,"Mar 30, 2023",8588,137.8244,19,4.112,56494,10.91
AATRCzM_gag,Entenda porque o Marco Temporal é uma enorme injustiça histórica! Alexandre de Moraes explicou tudo!,"Jun 8, 2023",5889,210.155,6,3.889,41932,9.4
7t_rfJa4sIE,Veja como ficou o STF após depredação de golpistas,"Jan 9, 2023",11095,407.3739,27,3.845,94524,9.69
HoMZXtCggQ8,Deputado bolsonarista é desmentido na própria live e passa muita vergonha,"Jan 15, 2023",9241,191.9757,8,3.554,62702,10.99
aV5Jc-k9adg,Governo do DF alterou o plano de segurança de última hora para permitir entrada na esplanada,"Jan 9, 2023",15307,200.4593,22,3.522,91183,14.99
3DfhssB2PQs,Lula e Sonia Guajajara falam para mais de 5000 indígenas no Acampamento Terra Livre - Ao Vivo,"Apr 28, 2023",5750,295.9941,2,3.486,73278,5.77
nYcnYrAn3UM,Silvio Almeida assume Ministério dos Direitos Humanos com discurso emocionante,"Jan 3, 2023",5502,97.1787,26,3.402,53883,5.65
hp6AarSpGg8,Lula now Flow bate recorde mundial de audiência! Confira melhores momentos,"Oct 19, 2022",6275,260.1818,19,3.388,55938,9.67
7qZCDrU_L6E,Deputados destilam transfobia contra deputada Dani Balbi no Rio de Janeiro UM SHOW DE HORRORES!,"Apr 1, 2023",12025,177.8904,6,3.291,82457,12.21
HpDwEL9I6pE,"Emicida intima evangélicos: ""Vocês são capazes de criar um ambiente de respeito à fé alheia?""","Mar 9, 2023",4013,160.1072,16,3.289,38366,7.36
VbEeFj4m4bY,“Você sabe o que é Lei Rouanet?” Bolsonarista passa vergonha em show de Zeca Baleiro,"May 8, 2023",7239,101.3935,9,3.21,51593,9.8
NAgkl2AOiLs,Profissão Reporter flagra ação de compra de votos pela prefeitura de Coronel Sapucaia (MS),"Nov 2, 2022",5555,187.0188,18,3.195,74915,5.19
Dg7sEoOQXfQ,Lula decreta intervenção militar e promete punição para envolvidos em atos extremistas em Brasília,"Jan 8, 2023",7674,174.2711,25,3.151,61394,8.96
pe-xhICmSyc,Renato Freitas enfureceu o governador Ratinho Jr. no Paraná com essa fala,"Mar 16, 2023",9123,188.7086,31,3.125,56277,12.59
ac11EbWowOw,"Arthur do Val, o Mamãe Falei, diz em áudio vazado que mulher da Ucrânia ‘é fácil porque é pobre’","Mar 5, 2022",5977,220.5808,19,3.119,52813,8.8
j08qdzfQVw4,Vereador de Caxias do Sul defende trabalho escravo e ataca nordestinos e argentinos,"Feb 28, 2023",5509,98.4443,10,3.115,28813,11.33
h38qC3cz9j4,Confira o discurso de posse completo de Lula no Congresso Nacional,"Jan 1, 2023",4187,280.4932,4,3.06,58119,4.15
V7zKAeYOGh8,Denúncia! Culto evangélico criminoso prega contra as instituições democráticas,"Jan 18, 2023",5165,107.2645,2,3.049,26226,12.48
T_qojBOUQxs,"""Fez uma postagem sem querer querendo"" Ivan Valente ironiza e compara Bolsonaro ao Chaves","Apr 28, 2023",4822,143.6507,7,2.998,38253,9.55
 -pLZNwGZOuc,"""O Brasil quer construir a paz"" Lula reforça sua posição de mediador na guerra da Ucrânia e Rússia","Apr 22, 2023",4729,122.4634,3,2.782,51836,7.05
sgkX2LSlm5g,Sérgio Moro deixa audiência na Câmara após fala de Glauber Braga,"Jul 3, 2019",5462,173.6806,14,2.768,29501,15.12
3RQQlc3hvbk,Jornalista e apresentadora de TV da Bahia manda recado certeiro e acaba com vereador racista,"Mar 2, 2023",2777,81.5878,5,2.7,23287,6.97
TSg_3u1ySsE,Célia Xakriabá detona deputados que votaram a favor da PL 490! Discurso histórico!,"May 31, 2023",5210,111.783,11,2.689,58225,5.94
xne4yR5JAvQ,"Célia Xakriabá destrói bolsonaristas que votaram a favor da PL490 ""É um genocídio legislado!""","May 25, 2023",6327,89.2616,3,2.681,53473,8.39
jHhcnhw8374,Governo anuncia pacote interministerial para conter ataques como o de Blumenau,"Apr 5, 2023",4770,110.2298,11,2.671,52498,6.59
EIVyk9BpxFw,"A autoestima de homem bolsonarista deveria ser engarrafada e vendida, viu?!","Jun 21, 2023",57852,736.7435,59,2.643,139952,7.51
FUBnP9EDm-o,Portaria da Papuda está movimentada de ônibus chegando com golpistas presos,"Jan 11, 2023",73968,559.0056,29,2.531,44626,5.58
