Conteúdo,Título do vídeo,Horário de publicação do vídeo,Visualizações,Tempo de exibição (horas),Inscritos,Receita estimada (USD),Impressões,Taxa de cliques de impressões (%)
7bbR6XIjJqU,"Fã de Foo Fighters é perguntada sobre o show, fala de Bolsonaro e deixa repórter desnorteado #shorts","May 4, 2023",14336,90.2965,28,0.252,33748,5.85
U5wri7H9dsM,Conheça o casal de cantoras lésbicas que toca o coração de Santa Catarina,"Aug 4, 2020",390,4.2467,2,0.251,2975,2.49
1ED4dwc3G-k,LEVANTE PELA TERRA - Pelo direito à vida e ao território dos povos indígenas,"Jun 23, 2021",364,12.8572,2,0.25,2953,5.52
x-5m2i0P2tk,Baiana System - Lucro - Ao vivo no Ato pelas Diretas Já em Salvador,"Jun 15, 2018",533,12.7677,0,0.249,2816,11.29
4l4Y9AbRWkA,IPVA pra jatinho e iate vai entrar na Reforma Tributária. Agora é batalhar pela isenção dos motoboys,"Jun 10, 2023",14204,116.0057,32,0.246,20404,2.88
xAg1b8Rfl3A,CHEGA DE AGROTÓXICOS - entrevista com Larissa Bombardi,"Jul 1, 2022",203,25.7479,6,0.246,602,10.3
HjXoW-j1_Bc,Vitor diCastro lista 5 motivos pra não votar em Bolsonaro de jeito nenhum! Confira,"Oct 25, 2022",608,23.9205,4,0.244,6342,7.46
X2YGlWfdavY,"Se comparar fica evidente, Bolsonaro é só atraso","Oct 17, 2022",42178,501.4903,107,0.244,3949,1.7
r6vyS3iW3ls,Denise Fraga emociona a todos no Ato pela Democracia com Lula,"Oct 27, 2022",621,12.3162,1,0.244,8355,6.07
HIp1vfRoV-c,Ep1. Paris Borges - Policial Trans fala sobre segurança pública,"Jun 10, 2019",471,21.7744,4,0.241,1404,10.68
FoeTp1YaW4I,"Delírios Utópicos de Claudio Prado - Ministério da Felicidade, Drone e a porraloquice do século 21","Oct 5, 2017",230,21.7452,1,0.24,2366,5.11
mPBjnNbwgv4,momentos mais marcantes do Barba com Caue Moura e Load no Desce a Letra Show,"Oct 24, 2022",615,29.3961,4,0.24,7853,6.21
n7MtKE78vWg,"Chris Martin, do Coldplay, foi a uma roda de Samba em um bar de São Paulo neste domingo","Mar 20, 2023",14275,81.2199,21,0.24,72455,8.75
_FpOVyJKPEs,"Delírios conversa com Pedro Cardoso, ator, humorista e.. escritor! FliAraxá 2017","Nov 18, 2017",479,35.4065,5,0.236,6703,4.49
CdT2zLipypY,Aula de Política 2 | Live de Anitta com Gabriela Prioli,"May 16, 2020",271,51.4695,1,0.231,4303,4.37
Gvl21HpGlx4,Lula relança Programa de Aquisição de Alimentos,"Mar 23, 2023",14651,101.8908,37,0.23,62159,9.81
k-2Br59YbIg,Aula de Política 3 | Live de Anitta com Gabriela Prioli,"May 30, 2020",180,32.5149,0,0.228,1914,5.69
AxHf5S4tpic,"Em novo filme, Eliza Capai traça um panorama atual do movimento estudantil no país","Aug 9, 2019",173,7.1643,4,0.227,1935,5.89
cUUIgdyyog4,A história subversiva do nascimento de Jesus - Pastor Henrique Vieira,"Dec 23, 2018",195,6.1405,3,0.227,3194,3.82
kyMO47IidVk,Não existe déficit da previdência | com Maria Lúcia Fattorelli,"Jun 25, 2019",199,11.9549,5,0.226,1465,6.42
Fx1ft0g55b0,Hanaiti Ho'únevo Têrenoe | 10ª Grande Assembleia do Povo Terena,"Aug 23, 2017",388,19.9339,0,0.221,4003,5.05
WxFO6KxkhOY,"Do NADA! Padre de festa junina, Kelman, aparece na CPI do MST","Jun 20, 2023",11157,50.6169,9,0.221,11928,3.86
aAjAic_oUZI,"Sergio Moro, a tua hora vai chegar! #SergioMoroNaCadeia","Jun 9, 2023",12926,95.9303,19,0.218,36727,4.47
V36cV3M55ug,Quilombo de Santana espera regularização de suas terras há mais de 20 anos,"Apr 18, 2019",199,6.8037,1,0.217,1406,6.54
W0yVBUj2-Xg,Conheça a candidata Sonia Guajajara (SP)│Eleições 2022,"Sep 9, 2022",366,8.838,2,0.216,7916,3.44
J03d2cSwuNQ,Majur canta Tan Kalakatan de Mayra Andrade na Casa NINJA Bahia,"Jan 18, 2020",360,12.9696,5,0.215,2448,10.09
lyQEO_OyRtk,Piores momentos da reunião ministerial,"May 22, 2020",409,12.94,1,0.215,2511,12.9
MWVr63iPueY,Não há simetria entre quem mata e quem morre | Guilherme Boulos no Roda Viva #shorts,"Oct 4, 2022",205844,2239.2563,551,0.213,14171,4.43
dB-tvLIgsEs,Bom dia grupo! Hoje é dia de maldade com Sérgio Moro,"Jul 5, 2019",293,4.2759,1,0.209,939,12.03
FOqK1J90kMk,"Manifesto contra Bolsonaro, pelo poeta Lucas Afonso","Sep 12, 2019",274,9.1809,3,0.207,4012,4.54
